CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:06:01 05/18/22,49,49,49,49,49,49,,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,2,3018.62,,46,75,2,3018.62,,46,75,2,3018.62,21.6,
12:06:06 05/18/22,47,47,47,47,47,47,,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,1,4191.15,,46,75,1,4191.15,,46,75,1,4191.15,18.9,
12:06:11 05/18/22,55,55,55,55,55,55,,,46,75,0,3193.25,,46,75,2,3193.25,,46,75,2,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,19.7,
12:06:16 05/18/22,48,48,48,48,48,48,,,46,75,0,2494.73,,46,75,2,2494.73,,46,75,2,2494.73,,46,75,1,2494.73,,46,75,1,2494.73,,46,75,1,2494.73,18.7,
12:06:21 05/18/22,47,47,47,47,47,47,,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,1,2494.73,18.5,
12:06:26 05/18/22,52,52,52,52,52,52,,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,4,2669.36,19.1,
12:06:31 05/18/22,47,47,47,47,47,47,,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,19.0,
12:06:36 05/18/22,50,50,50,50,50,50,,,46,75,0,2494.73,,46,75,1,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,1,2494.73,,46,75,2,2494.73,19.0,
12:06:41 05/18/22,47,47,47,47,47,47,,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,0,4191.15,,46,75,1,4191.15,18.5,
12:06:46 05/18/22,47,47,47,47,47,47,,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,18.4,
12:06:51 05/18/22,47,47,47,47,47,47,,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,18.3,
12:06:56 05/18/22,54,54,54,54,54,54,,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,0,3592.41,,46,75,2,3592.41,,46,75,1,3592.41,19.5,
12:07:01 05/18/22,47,47,47,47,47,47,,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,1,4191.15,18.7,
12:07:06 05/18/22,47,47,47,47,47,47,,,46,75,1,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,18.4,
12:07:11 05/18/22,52,52,52,52,52,52,,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,3,3193.25,18.9,
12:07:16 05/18/22,47,47,47,47,47,47,,,46,75,2,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,2,3193.25,19.1,
12:07:21 05/18/22,47,47,47,47,47,47,,,46,75,2,3367.89,,46,75,1,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,2,3367.89,18.0,
12:07:26 05/18/22,51,51,51,51,51,51,,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,18.7,
12:07:31 05/18/22,54,54,54,54,54,54,,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,1,3592.41,21.8,
12:07:36 05/18/22,58,58,58,58,58,58,,,46,75,2,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,2,3193.25,18.2,
12:07:41 05/18/22,50,50,50,50,50,50,,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,19.8,
12:07:46 05/18/22,47,47,47,47,47,47,,,46,75,1,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,2,3592.41,18.7,
12:07:51 05/18/22,60,60,60,60,60,60,,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,18.1,
12:07:56 05/18/22,52,52,52,52,52,52,,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,2,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,18.8,
12:08:01 05/18/22,47,47,47,47,47,47,,,46,75,1,2843.99,,46,75,1,2843.99,,46,75,1,2843.99,,46,75,0,2843.99,,46,75,1,2843.99,,46,75,1,2843.99,18.9,
12:08:06 05/18/22,55,55,55,55,55,55,,,46,75,1,2320.10,,46,75,0,2320.10,,46,75,1,2320.10,,46,75,0,2320.10,,46,75,0,2320.10,,46,75,1,2320.10,18.5,
12:08:11 05/18/22,57,57,57,57,57,57,,,46,75,4,2843.99,,46,75,2,2843.99,,46,75,2,2843.99,,46,75,2,2843.99,,46,75,2,2843.99,,46,75,3,2843.99,19.0,
12:08:16 05/18/22,49,49,49,49,49,49,,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,2,3367.89,19.0,
12:08:21 05/18/22,47,47,47,47,47,47,,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,2,3193.25,18.3,
12:08:26 05/18/22,52,52,52,52,52,52,,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,18.3,
12:08:31 05/18/22,55,55,55,55,55,55,,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,2,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,17.9,
12:08:36 05/18/22,58,58,58,58,58,58,,,46,75,0,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,1,4191.15,,46,75,2,4191.15,,46,75,2,4191.15,19.1,
12:08:41 05/18/22,50,50,50,50,50,50,,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,1,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,1,4191.15,18.7,
12:08:46 05/18/22,47,47,47,47,47,47,,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,18.2,
12:08:51 05/18/22,52,52,52,52,52,52,,,46,75,1,3592.41,,46,75,3,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,0,3592.41,,46,75,3,3592.41,20.3,
12:08:56 05/18/22,54,54,54,54,54,54,,,46,75,2,3367.89,,46,75,1,3367.89,,46,75,2,3367.89,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,1,3367.89,19.1,
12:09:01 05/18/22,57,57,57,57,57,57,,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,19.0,
12:09:06 05/18/22,49,49,49,49,49,49,,,46,75,0,3352.92,,46,75,0,3352.92,,46,75,0,4191.15,,46,75,1,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,18.3,
12:09:11 05/18/22,65,65,65,65,65,65,,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,2,3193.25,19.5,
12:09:16 05/18/22,58,58,58,58,58,58,,,46,75,0,2843.99,,46,75,0,2843.99,,46,75,1,2843.99,,46,75,2,2843.99,,46,75,1,2843.99,,46,75,0,2843.99,19.7,
12:09:21 05/18/22,62,62,62,62,62,62,,,46,75,2,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,3,3018.62,19.1,
12:09:26 05/18/22,67,67,67,67,67,67,,,46,75,3,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,1,3592.41,,46,75,2,3592.41,18.3,
12:09:31 05/18/22,59,59,59,59,59,59,,,46,75,0,3018.62,,46,75,2,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,3,3018.62,19.3,
12:09:36 05/18/22,51,51,51,51,51,51,,,46,75,0,2843.99,,46,75,1,2843.99,,46,75,1,2843.99,,46,75,0,2843.99,,46,75,0,2843.99,,46,75,1,2843.99,19.5,
12:09:41 05/18/22,57,57,57,57,57,57,,,46,75,3,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,21.8,
12:09:46 05/18/22,49,49,49,49,49,49,,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,2,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,1,3367.89,17.3,
12:09:51 05/18/22,47,47,47,47,47,47,,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2494.73,,46,75,0,2320.10,,46,75,0,2320.10,17.7,
12:09:56 05/18/22,47,47,47,47,47,47,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,2,2195.36,17.6,
12:10:01 05/18/22,47,47,47,47,47,47,,,46,75,1,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,17.6,
12:10:06 05/18/22,46,46,46,46,46,46,,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,18.1,
12:10:11 05/18/22,46,46,46,46,46,46,,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,17.7,
12:10:16 05/18/22,54,54,54,54,54,54,,,46,75,1,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,17.6,
12:10:21 05/18/22,57,57,57,57,57,57,,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,2,3367.89,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,1,3367.89,19.8,
12:10:26 05/18/22,49,49,49,49,49,49,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,17.6,
12:10:31 05/18/22,46,46,46,46,46,46,,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,2,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,17.5,
12:10:36 05/18/22,46,46,46,46,46,46,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,17.6,
12:10:41 05/18/22,46,46,46,46,46,46,,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,17.6,
12:10:46 05/18/22,46,46,46,46,46,46,,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,2,3193.25,,46,75,1,3193.25,17.4,
12:10:51 05/18/22,46,46,46,46,46,46,,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,17.6,
12:10:56 05/18/22,46,46,46,46,46,46,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,17.2,
12:11:01 05/18/22,46,46,46,46,46,46,,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,17.5,
12:11:06 05/18/22,50,50,50,50,50,50,,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,2,2195.36,17.6,
12:11:11 05/18/22,46,46,46,46,46,46,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,17.4,
12:11:16 05/18/22,46,46,46,46,46,46,,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,4,2195.36,17.5,
12:11:21 05/18/22,55,55,55,55,55,55,,,46,75,2,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3018.62,,46,75,1,3018.62,17.4,
12:11:26 05/18/22,47,47,47,47,47,47,,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,17.5,
12:11:31 05/18/22,49,49,49,49,49,49,,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,,46,75,1,2195.36,17.8,
12:11:36 05/18/22,51,51,51,51,51,51,,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,17.2,
12:11:41 05/18/22,45,45,45,45,45,45,,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,17.3,
12:11:46 05/18/22,45,45,45,45,45,45,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,17.0,
12:11:51 05/18/22,45,45,45,45,45,45,,,45,75,0,3193.25,,45,75,1,3193.25,,45,75,1,3193.25,,45,75,2,3193.25,,45,75,2,3193.25,,45,75,3,3193.25,17.3,
12:11:56 05/18/22,46,46,46,46,46,46,,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,,45,75,1,2195.36,17.6,
12:12:01 05/18/22,45,45,45,45,45,45,,,45,75,0,2195.36,,45,75,2,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,17.7,
12:12:06 05/18/22,45,45,45,45,45,45,,,45,75,2,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,17.5,
12:12:11 05/18/22,52,52,52,52,52,52,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,2,2195.36,,45,75,1,2195.36,17.2,
12:12:16 05/18/22,55,55,55,55,55,55,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,17.7,
12:12:21 05/18/22,48,48,48,48,48,48,,,45,75,1,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,1,2320.10,,45,75,2,2320.10,17.1,
12:12:26 05/18/22,46,46,46,46,46,46,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,17.4,
12:12:31 05/18/22,49,49,49,49,49,49,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,3,2195.36,,45,75,1,2195.36,17.8,
12:12:36 05/18/22,46,46,46,46,46,46,,,45,75,1,2320.10,,45,75,0,2320.10,,45,75,2,2320.10,,45,75,2,2320.10,,45,75,0,2320.10,,45,75,2,2320.10,17.4,
12:12:41 05/18/22,46,46,46,46,46,46,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,17.5,
12:12:46 05/18/22,45,45,45,45,45,45,,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,,45,75,1,2195.36,17.7,
12:12:51 05/18/22,45,45,45,45,45,45,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,17.4,
12:12:56 05/18/22,45,45,45,45,45,45,,,45,75,1,3018.62,,45,75,2,3018.62,,45,75,0,3018.62,,45,75,0,3018.62,,45,75,0,3018.62,,45,75,3,3018.62,17.6,
12:13:01 05/18/22,45,45,45,45,45,45,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,17.8,
12:13:06 05/18/22,45,45,45,45,45,45,,,45,75,2,3018.62,,45,75,0,3018.62,,45,75,1,3018.62,,45,75,2,3018.62,,45,75,1,2843.99,,45,75,1,2843.99,16.9,
12:13:11 05/18/22,48,48,48,48,48,48,,,45,75,1,2669.36,,45,75,0,2669.36,,45,75,1,2669.36,,45,75,2,2669.36,,45,75,2,2669.36,,45,75,0,2669.36,17.0,
12:13:16 05/18/22,45,45,45,45,45,45,,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,17.9,
12:13:21 05/18/22,56,56,56,56,56,56,,,45,75,1,4191.15,,45,75,4,4191.15,,45,75,1,4191.15,,45,75,6,4191.15,,45,75,1,4191.15,,45,75,4,4191.15,17.1,
12:13:26 05/18/22,59,59,59,59,59,59,,,45,75,2,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,2,3193.25,,45,75,1,3193.25,18.3,
12:13:31 05/18/22,52,52,52,52,52,52,,,45,75,1,2494.73,,45,75,2,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,1,2494.73,18.4,
12:13:36 05/18/22,54,54,54,54,54,54,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,16.9,
12:13:41 05/18/22,56,56,56,56,56,56,,,45,75,2,4191.15,,45,75,5,4191.15,,45,75,3,4191.15,,45,75,1,4191.15,,45,75,1,4191.15,,45,75,8,4191.15,18.0,
12:13:46 05/18/22,59,59,59,59,59,59,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,17.8,
12:13:51 05/18/22,51,51,51,51,51,51,,,45,75,0,2669.36,,45,75,2,2669.36,,45,75,2,2669.36,,45,75,1,2669.36,,45,75,0,2669.36,,45,75,0,2669.36,17.2,
12:13:56 05/18/22,55,55,55,55,55,55,,,45,75,1,3592.41,,45,75,1,3592.41,,45,75,2,3592.41,,45,75,2,3592.41,,45,75,0,3592.41,,45,75,1,3592.41,17.1,
12:14:01 05/18/22,48,48,48,48,48,48,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,2,2195.36,,45,75,1,2195.36,17.9,
12:14:06 05/18/22,50,50,50,50,50,50,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,17.8,
12:14:11 05/18/22,54,54,54,54,54,54,,,45,75,2,3592.41,,45,75,0,3592.41,,45,75,2,3592.41,,45,75,1,3592.41,,45,75,1,4191.15,,45,75,2,4191.15,17.8,
12:14:16 05/18/22,47,47,47,47,47,47,,,45,75,1,2195.36,,45,75,2,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,,45,75,1,2195.36,,45,75,2,2195.36,17.5,
12:14:21 05/18/22,46,46,46,46,46,46,,,45,75,1,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,1,2494.73,,45,75,0,2320.10,16.9,
12:14:26 05/18/22,46,46,46,46,46,46,,,45,75,0,3367.89,,45,75,0,3367.89,,45,75,2,3367.89,,45,75,0,3367.89,,45,75,0,3367.89,,45,75,3,3367.89,17.4,
12:14:31 05/18/22,46,46,46,46,46,46,,,45,75,1,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,0,2494.73,,45,75,1,2494.73,17.6,
12:14:36 05/18/22,46,46,46,46,46,46,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,2,2195.36,17.4,
12:14:41 05/18/22,54,54,54,54,54,54,,,45,75,2,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,17.6,
12:14:46 05/18/22,46,46,46,46,46,46,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,17.5,
12:14:51 05/18/22,52,52,52,52,52,52,,,45,75,0,2320.10,,45,75,1,2320.10,,45,75,0,2320.10,,45,75,0,2320.10,,45,75,0,2320.10,,45,75,1,2320.10,17.2,
12:14:56 05/18/22,45,45,45,45,45,45,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,2,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,17.0,
12:15:01 05/18/22,45,45,45,45,45,45,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,2,2195.36,,45,75,4,2195.36,,45,75,1,2195.36,,45,75,2,2195.36,16.9,
12:15:06 05/18/22,45,45,45,45,45,45,,,45,75,0,2320.10,,45,75,0,2320.10,,45,75,1,2320.10,,45,75,0,2320.10,,45,75,0,2320.10,,45,75,1,2320.10,17.1,
12:15:11 05/18/22,45,45,45,45,45,45,,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,3,2195.36,,45,75,0,2195.36,17.5,
12:15:16 05/18/22,45,45,45,45,45,45,,,45,75,1,2320.10,,45,75,0,2320.10,,45,75,1,2320.10,,45,75,0,2320.10,,45,75,0,2320.10,,45,75,1,2320.10,17.7,
12:15:21 05/18/22,58,58,58,58,58,58,,,45,75,1,2843.99,,45,75,0,2843.99,,45,75,0,2843.99,,45,75,1,2843.99,,45,75,0,2843.99,,45,75,2,2843.99,17.5,
12:15:46 05/18/22,62,62,62,62,62,62,,,45,75,0,3193.25,,45,75,1,3193.25,,45,75,1,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,2,3193.25,17.3,
12:15:51 05/18/22,54,54,54,54,54,54,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,,45,75,1,2195.36,16.8,
12:16:01 05/18/22,61,61,61,61,61,61,,,45,75,0,3367.89,,45,75,1,3367.89,,45,75,1,3367.89,,45,75,1,3367.89,,45,75,1,3367.89,,45,75,5,3367.89,22.0,
12:16:06 05/18/22,54,54,54,54,54,54,,,45,75,1,3193.25,,45,75,1,3193.25,,45,75,1,3193.25,,45,75,0,3193.25,,45,75,0,3193.25,,45,75,1,3193.25,27.1,
12:16:11 05/18/22,57,57,57,57,57,57,,,45,75,0,3018.62,,45,75,0,3018.62,,45,75,0,3018.62,,45,75,1,3018.62,,45,75,0,3018.62,,45,75,0,3018.62,18.7,
12:16:16 05/18/22,50,50,50,50,50,50,,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,0,2195.36,,45,75,1,2195.36,22.0,
12:16:21 05/18/22,65,65,65,65,65,65,,,45,75,4,3592.41,,45,75,3,3592.41,,45,75,2,3592.41,,45,75,1,3592.41,,45,75,3,3592.41,,45,75,4,4191.15,26.5,

Session end:,12:16:25 - May 18 - 2022

