CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:59:31 05/18/22,56,56,56,56,56,56,,,48,75,1,3018.62,,48,75,2,3018.62,,48,75,1,3018.62,,48,75,1,3018.62,,48,75,1,3018.62,,48,75,3,3018.62,20.5,
11:59:36 05/18/22,49,49,49,49,49,49,,,48,75,0,3018.62,,48,75,0,3018.62,,48,75,0,3018.62,,48,75,0,3018.62,,48,75,0,3018.62,,48,75,0,3018.62,18.0,
11:59:41 05/18/22,54,54,54,54,54,54,,,48,75,3,3193.25,,48,75,3,3193.25,,48,75,3,3193.25,,48,75,2,3193.25,,48,75,1,3193.25,,48,75,3,3193.25,21.7,
11:59:46 05/18/22,59,59,59,59,59,59,,,48,75,4,4141.25,,48,75,6,4141.25,,48,75,4,4141.25,,48,75,2,4141.25,,48,75,3,4141.25,,48,75,2,4141.25,18.0,
11:59:51 05/18/22,61,61,61,61,61,61,,,48,75,0,3352.92,,48,75,0,3352.92,,48,75,0,4191.15,,48,75,0,4191.15,,48,75,0,4191.15,,48,75,0,4191.15,18.4,
11:59:56 05/18/22,54,54,54,54,54,54,,,48,75,0,3193.25,,48,75,0,3193.25,,48,75,0,3193.25,,48,75,0,3193.25,,48,75,0,3193.25,,48,75,1,3193.25,18.0,
12:00:01 05/18/22,48,48,48,48,48,48,,,48,75,0,4191.15,,48,75,0,3567.46,,48,75,0,3592.41,,48,75,0,3592.41,,48,75,0,3592.41,,48,75,1,3592.41,18.3,
12:00:06 05/18/22,52,52,52,52,52,52,,,48,75,1,3367.89,,48,75,2,3367.89,,48,75,1,3367.89,,48,75,0,3367.89,,48,75,1,3367.89,,48,75,2,3367.89,18.3,
12:00:11 05/18/22,48,48,48,48,48,48,,,48,75,2,3592.41,,48,75,1,3592.41,,48,75,1,3592.41,,48,75,1,3592.41,,48,75,3,3592.41,,48,75,2,3592.41,17.8,
12:00:16 05/18/22,51,51,51,51,51,51,,,48,75,3,3367.89,,48,75,1,3367.89,,48,75,1,3367.89,,48,75,1,3367.89,,48,75,0,3367.89,,48,75,2,3367.89,17.7,
